ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,ORDERMONTH,ORDERYEAR
10299,23,112.93000030517578,9,2597.389892578125,2019-09-30,Shipped,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Small,9,2019
10309,41,107.18000030517578,5,4394.3798828125,2019-10-15,Shipped,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium,10,2019
10318,46,94.73999786376953,1,4358.0400390625,2019-11-02,Shipped,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium,11,2019
10329,42,104.66999816894531,1,4396.14013671875,2019-11-15,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,11,2019
10341,41,188.72999572753906,9,7737.93017578125,2019-11-24,Shipped,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Large,11,2019
10361,20,72.55000305175781,13,1451,2019-12-17,Shipped,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small,12,2019
10375,21,34.90999984741211,12,733.1099853515625,2020-02-03,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small,2,2020
10388,42,76.36000061035156,4,3207.1201171875,2020-03-03,Shipped,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Medium,3,2020
10403,24,101.44000244140625,7,2434.56005859375,2020-04-08,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Small,4,2020
10417,66,113.87999725341797,2,7516.080078125,2020-05-13,Disputed,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,5,2020
10103,26,207.8699951171875,11,5404.6201171875,2018-01-29,Shipped,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium,1,2018
10112,29,248.58999633789062,1,7209.10986328125,2018-03-24,Shipped,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Large,3,2018
10126,38,192.8699951171875,11,7329.06005859375,2018-05-28,Shipped,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,Large,5,2018
10140,37,199.3000030517578,11,7374.10009765625,2018-07-24,Shipped,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Large,7,2018
10150,45,244.3000030517578,8,10993.5,2018-09-19,Shipped,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Large,9,2018
10163,21,231.44000244140625,1,4860.240234375,2018-10-20,Shipped,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Medium,10,2018
10174,34,235.72999572753906,4,8014.81982421875,2018-11-06,Shipped,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Large,11,2018
10183,23,233.58999633789062,8,5372.56982421875,2018-11-13,Shipped,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Medium,11,2018
10194,42,173.5800018310547,11,7290.35986328125,2018-11-25,Shipped,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Large,11,2018
10206,47,192.8699951171875,6,9064.8896484375,2018-12-05,Shipped,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Large,12,2018
10215,35,173.5800018310547,3,6075.2998046875,2019-01-29,Shipped,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA,Thompson,Steve,Medium,1,2019
10228,29,222.8699951171875,2,6463.22998046875,2019-03-10,Shipped,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA,Tseng,Kyung,Medium,3,2019
10245,34,180.00999450683594,9,6120.33984375,2019-05-04,Shipped,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,USA,Murphy,Leslie,Medium,5,2019
10258,32,240.02000427246094,6,7680.64013671875,2019-06-15,Shipped,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Large,6,2019
10270,21,233.58999633789062,9,4905.39013671875,2019-07-19,Shipped,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Medium,7,2019
10280,34,235.72999572753906,2,8014.81982421875,2019-08-17,Shipped,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Large,8,2019
10291,37,192.8699951171875,11,7136.18994140625,2019-09-08,Shipped,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Large,9,2019
10304,47,216.44000244140625,6,10172.7001953125,2019-10-11,Shipped,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Large,10,2019
10312,48,242.16000366210938,3,11623.7001953125,2019-10-21,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Large,10,2019
10322,40,150.00999450683594,1,6000.39990234375,2019-11-04,Shipped,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Medium,11,2019
10347,30,131.49000549316406,1,3944.699951171875,2019-11-29,Shipped,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,11,2019
10357,32,177.8699951171875,10,5691.83984375,2019-12-10,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium,12,2019
10369,41,110.12000274658203,2,4514.919921875,2020-01-20,Shipped,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,Medium,1,2020
10391,24,100.69000244140625,4,2416.56005859375,2020-03-09,Shipped,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small,3,2020
10411,23,180.00999450683594,9,4140.22998046875,2020-05-01,Shipped,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium,5,2020
10424,50,240.02000427246094,6,12001,2020-05-31,In Process,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,5,2020
10107,39,99.91000366210938,5,3896.489990234375,2018-02-24,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,2,2018
10120,29,96.33999633789062,3,2793.860107421875,2018-04-29,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small,4,2018
10134,27,122.51000213623047,5,3307.77001953125,2018-07-01,Shipped,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium,7,2018
10145,37,140.35000610351562,9,5192.9501953125,2018-08-25,Shipped,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium,8,2018
10168,27,135.58999633789062,4,3660.929931640625,2018-10-28,Shipped,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,10,2018
10180,42,111.80000305175781,12,4695.60009765625,2018-11-11,Shipped,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Medium,11,2018
10188,38,96.33999633789062,4,3660.919921875,2018-11-18,Shipped,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium,11,2018
10210,23,130.8300018310547,2,3009.090087890625,2019-01-12,Shipped,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium,1,2019
10223,47,115.37000274658203,4,5422.39013671875,2019-02-20,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,2,2019
10236,22,129.63999938964844,1,2852.080078125,2019-04-03,Shipped,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Small,4,2019
10251,44,130.8300018310547,5,5756.52001953125,2019-05-18,Shipped,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Medium,5,2019
10263,40,111.80000305175781,5,4472,2019-06-28,Shipped,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Medium,6,2019
10275,22,132.02000427246094,4,2904.43994140625,2019-07-23,Shipped,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small,7,2019
10285,47,137.97000122070312,9,6484.58984375,2019-08-27,Shipped,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium,8,2019
10298,39,96.33999633789062,1,3757.260009765625,2019-09-27,Shipped,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,44000,France,Schmitt,Carine,Medium,9,2019
10308,34,118.94000244140625,2,4043.9599609375,2019-10-15,Shipped,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium,10,2019
10318,45,123.69999694824219,4,5566.5,2019-11-02,Shipped,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium,11,2019
10329,20,158.8000030517578,2,3176,2019-11-15,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,11,2019
10339,40,68.91999816894531,4,2756.800048828125,2019-11-23,Shipped,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small,11,2019
10361,26,51.150001525878906,8,1329.9000244140625,2019-12-17,Shipped,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small,12,2019
10374,39,135.58999633789062,5,5288.009765625,2020-02-02,Shipped,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Medium,2,2020
10388,50,44.5099983215332,5,2225.5,2020-03-03,Shipped,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small,3,2020
10402,45,129.63999938964844,1,5833.7998046875,2020-04-07,Shipped,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Medium,4,2020
10417,45,130.8300018310547,5,5887.35009765625,2020-05-13,Disputed,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium,5,2020
10107,27,224.64999389648438,4,6065.5498046875,2018-02-24,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,2,2018
10120,46,201.41000366210938,2,9264.8603515625,2018-04-29,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Large,4,2018
10134,31,226.5800018310547,4,7023.97998046875,2018-07-01,Shipped,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Large,7,2018
10145,33,156.86000061035156,8,5176.3798828125,2018-08-25,Shipped,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium,8,2018
10168,20,209.14999389648438,3,4183,2018-10-28,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,10,2018
10180,41,216.89999389648438,11,8892.900390625,2018-11-11,Shipped,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Large,11,2018
10188,45,193.66000366210938,3,8714.7001953125,2018-11-18,Shipped,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Large,11,2018
10210,34,180.10000610351562,1,6123.39990234375,2019-01-12,Shipped,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium,1,2019
10223,49,199.47000122070312,3,9774.0302734375,2019-02-20,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Large,2,2019
10237,39,180.10000610351562,9,7023.89990234375,2019-04-05,Shipped,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Large,4,2019
10251,43,164.61000061035156,4,7078.22998046875,2019-05-18,Shipped,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Large,5,2019
10263,41,203.33999633789062,4,8336.9404296875,2019-06-28,Shipped,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Large,6,2019
10275,36,191.72000122070312,3,6901.919921875,2019-07-23,Shipped,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Medium,7,2019
10285,27,201.41000366210938,8,5438.06982421875,2019-08-27,Shipped,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium,8,2019
10299,29,230.4600067138672,11,6683.33984375,2019-09-30,Shipped,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium,9,2019
10308,20,228.52000427246094,1,4570.39990234375,2019-10-15,Shipped,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium,10,2019
10318,37,207.22000122070312,3,7667.14013671875,2019-11-02,Shipped,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Large,11,2019
10329,26,225.6999969482422,3,5868.2001953125,2019-11-15,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,11,2019
10339,39,76.66999816894531,3,2990.1298828125,2019-11-23,Shipped,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small,11,2019
10362,22,166.5500030517578,4,3664.10009765625,2020-01-05,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,1,2020
10374,22,174.2899932861328,1,3834.3798828125,2020-02-02,Shipped,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Medium,2,2020
10388,21,86.7699966430664,7,1822.1700439453125,2020-03-03,Shipped,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small,3,2020
10403,66,180.10000610351562,9,11886.599609375,2020-04-08,Shipped,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Large,4,2020
10417,56,164.61000061035156,4,9218.16015625,2020-05-13,Disputed,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,5,2020
10105,50,144.16000366210938,2,7208,2018-02-11,Shipped,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Large,2,2018
10119,46,108.80000305175781,11,5004.7998046875,2018-04-28,Shipped,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Medium,4,2018
10129,33,133.27999877929688,2,4398.240234375,2018-06-12,Shipped,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,Medium,6,2018
10143,49,114.23999786376953,15,5597.759765625,2018-08-10,Shipped,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,USA,Tam,Wing C,Medium,8,2018
10155,32,141.44000244140625,13,4526.080078125,2018-10-06,Shipped,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium,10,2018
10167,44,134.63999938964844,9,5924.16015625,2018-10-23,Cancelled,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Medium,10,2018
10178,24,145.52000427246094,12,3492.47998046875,2018-11-08,Shipped,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France,Roulet,Annette,Medium,11,2018
10186,26,148.24000549316406,9,3854.239990234375,2018-11-14,Shipped,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK,Hardy,Thomas,Medium,11,2018
10197,45,118.31999969482422,6,5324.39990234375,2018-11-26,Shipped,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,8022,Spain,Saavedra,Eduardo,Medium,11,2018
10222,49,122.4000015258789,12,5997.60009765625,2019-02-19,Shipped,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,91217,USA,Thompson,Valarie,Medium,2,2019
10248,20,145.52000427246094,3,2910.39990234375,2019-05-07,Cancelled,Classic Cars,136,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small,5,2019
10261,27,125.12000274658203,1,3378.239990234375,2019-06-17,Shipped,Classic Cars,136,S10_4757,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium,6,2019
10273,30,116.95999908447266,4,3508.800048828125,2019-07-21,Shipped,Classic Cars,136,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,Dewey,Catherine,Medium,7,2019
10283,25,119.68000030517578,6,2992,2019-08-20,Shipped,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,Small,8,2019
10295,24,142.8000030517578,1,3427.199951171875,2019-09-10,Shipped,Classic Cars,136,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Medium,9,2019
10307,22,122.4000015258789,9,2692.800048828125,2019-10-14,Shipped,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Small,10,2019
10316,33,125.12000274658203,17,4128.9599609375,2019-11-01,Shipped,Classic Cars,136,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK,Bennett,Helen,Medium,11,2019
10325,47,64.93000030517578,6,3051.7099609375,2019-11-05,Shipped,Classic Cars,136,S10_4757,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium,11,2019
10337,25,48.04999923706055,8,1201.25,2019-11-21,Shipped,Classic Cars,136,S10_4757,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Small,11,2019
10350,26,75.47000122070312,5,1962.219970703125,2019-12-02,Shipped,Classic Cars,136,S10_4757,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small,12,2019
10359,48,54.68000030517578,6,2624.639892578125,2019-12-15,Shipped,Classic Cars,136,S10_4757,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,France,Henriot,Paul,Small,12,2019
10373,39,103.75,3,4046.25,2020-01-31,Shipped,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Medium,1,2020
10395,32,105.33000183105469,2,3370.56005859375,2020-03-17,Shipped,Classic Cars,136,S10_4757,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium,3,2020
10400,64,150.9600067138672,9,9661.4404296875,2020-04-01,Shipped,Classic Cars,136,S10_4757,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA,Frick,Sue,Large,4,2020
